,AphiaID
Fanellia tuberculata,289955
Bebryce brunnea,520676
Calyptrophora alpha,883727
Scleracis guadalupensis,418854
Ellisella schmitti,177831
Nicella robusta,286178
Narella bellissima,177838
Radicipes spiralis,286162
Leptogorgia medusa,286250
Leptogorgia filicrispa,744364
Narella pauciflora,286530
Leptogorgia styx,286286
Thesea guadalupensis,286434
Muriceides nigra,286365
Muricea tenella,287578
Muriceides cylindrica,286358
Menella grandiflora,288370
Villogorgia bebrycoides,125404
Chrysogorgia fewkesii,286118
Muriceides tenuis,286368
Bebryce parastellata,286346
Calyptrophora gerdae,177834
Fanellia compressa,289948
Thesea rubra,418858
Swiftia pallida,125401
Cyclomuricea flabellata,289769
Ellisella grandiflora,520725
Leptogorgia barbadensis,286214
Plumarella pourtalesii f. robusta,409534
Plumarella aurea,287663
Leptogorgia cardinalis,286219
Narella ambigua,286510
Fanellia medialis,289954
Fanellia fraseri,289951
Parastenella atlantica,290682
Narella alaskensis,409561
Plumarella aculeata,287659
Muricea appressa,287552
Narella abyssalis,409560
Parastenella bayeri,574229
Parastenella doederleini,290683
Trichogorgia lyra,289183
